"Для обработки шаблона, используйте колонку ID шаблона",,
Pattern name,preview,ID pattern
amigos,,3397
fabulous,,3003
,,
heart,,2804
flirty,,3386
hat,,2765
 wicked,,2669
,,
abstract,,1514
weird,,2565
blur,,2260
makeup,,3085
,,
aged,,2221
aileen,,2341
,,
aquarelle,,1795
,,
Alien,,1622
,,
,,
clear,,2531
Pink,,2174
,,
,,
,,
art,,1895
Aluminium,,3176
Amaranth,,2342
Eyes,,2357
Collodion,,2811
America,,2054
America,,2517
Amethyst,,2173
,,
Screamers,,1891
,,
Anaglyph,,3188
winner,,2894
,,
Angels,,2803
,,
Anger,,2085
Anger,,2255
Angreen,,3254
Eyes,,1335
Distortion,,2637
Hair,,3149
eyes,,1339
Bubbles,,1875
Feathers,,1876
,,
Antique,,676
,,
hair,,2679
,,
,,
,,
,,
Argentina,,2379
,,
Aristocrat,,2948
,,
,,
,,
,,
,,
Aureolin,,1547
,,
,,
,,
Autumn,,1986
,,
,,
,,
,,
Autumn,,3133
,,
Autumn,,1677
,,
,,
Dragon,,2955
Sparkles,,1754
,,
,,
Cold,,3351
,,
,,
Xmas,,3346
,,
,,
Boom,,2400
Forest,,1773
,,
,,
,,
,,
,,
Beard,,3256
Beard,,3114
Beaten-up,,936
,,
,,
,,
,,
,,
,,
,,
,,
Zero,,1828
Bengal,,2247
flowers,,2172
,,
heart,,1693
hues,,2568
melting,,2244
Bewitched,,1829
,,
,,
alien,,937
Circles,,3105
,,
,,
,,
,,
Birds,,1342
,,
,,
,,
,,
,,
,,
,,
,,
Black,,1028
,,
Eyes,,1694
blue,,2107
eyes,,2097
,,
,,
,,
,,
,,
Blobfish,,2152
,,
,,
,,
,,
,,
Butterflies,,1807
Eyes,,1646
Blue,,1201
,,
Blue,,1096
Butterfly,,1995
santa,,769
snow,,1233
eyes,,2354
Split,,2108
Painting,,1446
Blurred,,2169
Sequins,,3291
Sequins,,3281
Sequins,,3292
,,
Bubbles,,1753
Background,,1957
Bokehful,,2120
,,
,,
,,
bang,,1862
,,
face,,2129
face,,2132
Botanika,,1774
,,
,,
,,
spring,,2323
brazil,,2380
brazil,,2412
,,
,,
broken,,1293
bronze,,954
,,
,,
,,
Bubble,,1326
Bubbles,,1695
,,
,,
Head,,1623
Eyes,,1696
,,
,,
,,
,,
,,
Butterflies,,2225
,,
,,
Butterfly,,1296
,,
,,
Eyes,,2646
,,
,,
,,
,,
California,,2570
,,
,,
,,
,,
,,
,,
,,
Eyes,,2358
,,
,,
Caramel,,1054
Caramel,,1668
Cartoon,,682
,,
hat,,2958
eyes,,2912
eyes,,2956
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
cats,,2957
neon,,3366
Celsius,,2343
Cerulean,,1830
Chalky,,1669
,,
,,
Charcoal,,750
Drawing,,1100
,,
,,
,,
Smile,,2154
Hair,,3174
,,
Galaxy,,2253
,,
,,
Chilly,,1761
,,
,,
,,
Christmas,,962
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Cinnamon,,2303
Mosaic,,716
Clarain,,2344
Glasses,,2951
,,
,,
Clover,,3395
,,
,,
,,
,,
Coffee,,1670
,,
Color,,2730
,,
Color,,1826
pencil,,1117
pencil,,1118
Lipstick,,3132
,,
,,
,,
,,
Splash,,1994
,,
,,
Confetti,,2312
,,
Contempt,,2086
,,
Cosmic,,1967
,,
,,
,,
,,
,,
Drawing,,1101
,,
,,
,,
,,
,,
Creepy,,1906
,,
,,
creepy,,2183
,,
sugar,,1671
,,
,,
,,
Stitch,,1015
,,
,,
wings,,3037
,,
cry,,2181
,,
,,
,,
,,
Acrylics,,1506
Cue,,2345
,,
,,
,,
,,
Cutie,,3183
,,
,,
,,
,,
,,
,,
Danville,,2346
,,
Cloud,,1484
,,
vamp,,2558
,,
,,
,,
Hill,,782
,,
,,
,,
Beach,,2008
Bubbles,,2863
,,
,,
Deadly,,1806
Glasses,,2252
,,
,,
,,
eyes,,1299
Denim,,1797
depth,,1850
Desaturation,,1708
,,
,,
devil,,1763
Deyemond,,3215
,,
,,
,,
Distortion,,2314
matrix,,2935
,,
,,
,,
Disgust,,2087
,,
,,
,,
,,
,,
Doll,,2186
Doll,,2557
Dollar,,1698
,,
,,
,,
trump,,1652
,,
,,
comics,,1868
,,
pop,,3124
Colorization,,2310
,,
,,
Illusion,,1477
,,
,,
,,
,,
,,
,,
Dramatic,,1034
Dramatic,,949
Retro,,955
Sunset,,3025
Mirror,,1722
,,
,,
,,
Retro,,956
,,
Clothes,,3088
,,
,,
,,
hair,,2493
hair,,2671
hair,,2590
hair,,2507
hair,,2516
hair,,2494
,,
trio,,2104
,,
,,
,,
,,
,,
,,
,,
black,,2116
,,
,,
,,
,,
,,
green,,1549
,,
,,
